,dataset,group,feat_selection,metric,value,time,model_path,fold_key,model_type,n_obs,model
0,pbmc,val,random,roc_auc,0.5238293759532028,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
1,pbmc,val,random,pr_auc,0.08033673137908831,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
2,pbmc,val,random,r2,0.3409079909324646,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
3,pbmc,val,random,roc_auc_multi,0.49833726526168487,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
4,pbmc,val,random,pr_auc_multi,0.08345054454986235,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
5,pbmc,test,random,roc_auc,0.5632120148292197,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
6,pbmc,test,random,pr_auc,0.09138453224093541,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
7,pbmc,test,random,r2,0.23652732372283936,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
8,pbmc,test,random,roc_auc_multi,0.49967804483363765,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
9,pbmc,test,random,pr_auc_multi,0.11099045188137008,128.381918,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_0.pt,fold_0,pwms,2000,mubind
0,pbmc,val,random,roc_auc,0.5693555651470494,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
1,pbmc,val,random,pr_auc,0.0698054875925166,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
2,pbmc,val,random,r2,0.37124598026275635,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
3,pbmc,val,random,roc_auc_multi,0.5007448246887427,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
4,pbmc,val,random,pr_auc_multi,0.09079447477802426,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
5,pbmc,test,random,roc_auc,0.5584818834586068,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
6,pbmc,test,random,pr_auc,0.07806646980639641,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
7,pbmc,test,random,r2,0.3340698480606079,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
8,pbmc,test,random,roc_auc_multi,0.4986257610289312,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
9,pbmc,test,random,pr_auc_multi,0.07714149874968436,530.624209,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_1.pt,fold_1,pwms,2000,mubind_graph
0,pbmc,val,random,roc_auc,0.5410037398840892,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
1,pbmc,val,random,pr_auc,0.08130794141939908,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
2,pbmc,val,random,r2,0.39271318912506104,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
3,pbmc,val,random,roc_auc_multi,0.5080928638468911,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
4,pbmc,val,random,pr_auc_multi,0.09101389573874363,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
5,pbmc,test,random,roc_auc,0.5305001551936009,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
6,pbmc,test,random,pr_auc,0.07369417365519397,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
7,pbmc,test,random,r2,0.3536660075187683,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
8,pbmc,test,random,roc_auc_multi,0.4989581719545581,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
9,pbmc,test,random,pr_auc_multi,0.07712460510685745,112.986589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_1/model_0.pt,fold_1,pwms,2000,mubind
0,pbmc,val,random,roc_auc,0.5185562502033553,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
1,pbmc,val,random,pr_auc,0.05547411040977177,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
2,pbmc,val,random,r2,0.26325494050979614,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
3,pbmc,val,random,roc_auc_multi,0.49869186131464316,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
4,pbmc,val,random,pr_auc_multi,0.09988900266894062,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
5,pbmc,test,random,roc_auc,0.5010605511140932,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
6,pbmc,test,random,pr_auc,0.07090079607313665,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
7,pbmc,test,random,r2,0.2723435163497925,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
8,pbmc,test,random,roc_auc_multi,0.5020931898508537,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
9,pbmc,test,random,pr_auc_multi,0.11110149400927256,546.862008,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_1.pt,fold_2,pwms,2000,mubind_graph
0,pbmc,val,random,roc_auc,0.5753754127623516,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
1,pbmc,val,random,pr_auc,0.06303720155546688,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
2,pbmc,val,random,r2,0.2769954800605774,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
3,pbmc,val,random,roc_auc_multi,0.5015970473783256,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
4,pbmc,val,random,pr_auc_multi,0.10010073321295074,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
5,pbmc,test,random,roc_auc,0.5505919965431149,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
6,pbmc,test,random,pr_auc,0.0677666651735275,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
7,pbmc,test,random,r2,0.28454911708831787,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
8,pbmc,test,random,roc_auc_multi,0.5039305125204828,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
9,pbmc,test,random,pr_auc_multi,0.11102533442214613,128.268683,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_2/model_0.pt,fold_2,pwms,2000,mubind
0,pbmc,val,random,roc_auc,0.5477720100202544,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
1,pbmc,val,random,pr_auc,0.0699578746579874,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
2,pbmc,val,random,r2,0.27149856090545654,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
3,pbmc,val,random,roc_auc_multi,0.4991657596555601,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
4,pbmc,val,random,pr_auc_multi,0.09097912660419555,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
5,pbmc,test,random,roc_auc,0.5024904924954232,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
6,pbmc,test,random,pr_auc,0.073475803153359,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
7,pbmc,test,random,r2,0.31988078355789185,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
8,pbmc,test,random,roc_auc_multi,0.49854285489121314,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
9,pbmc,test,random,pr_auc_multi,0.10006873460408863,546.874524,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_1.pt,fold_4,pwms,2000,mubind_graph
0,pbmc,val,random,roc_auc,0.5090081604423546,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
1,pbmc,val,random,pr_auc,0.07898633577614417,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
2,pbmc,val,random,r2,0.28239428997039795,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
3,pbmc,val,random,roc_auc_multi,0.49999047903872196,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
4,pbmc,val,random,pr_auc_multi,0.09095318564520366,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
5,pbmc,test,random,roc_auc,0.5608872907301646,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
6,pbmc,test,random,pr_auc,0.06556217803883993,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
7,pbmc,test,random,r2,0.33228129148483276,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
8,pbmc,test,random,roc_auc_multi,0.4998400983298118,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
9,pbmc,test,random,pr_auc_multi,0.10019923311344743,128.647843,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_4/model_0.pt,fold_4,pwms,2000,mubind
0,pbmc,val,random,roc_auc,0.519040296255866,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
1,pbmc,val,random,pr_auc,0.06755725085955594,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
2,pbmc,val,random,r2,0.32581961154937744,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
3,pbmc,val,random,roc_auc_multi,0.499939880109554,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
4,pbmc,val,random,pr_auc_multi,0.09202390079406242,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
5,pbmc,test,random,roc_auc,0.5299179870348747,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
6,pbmc,test,random,pr_auc,0.06792031699954894,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
7,pbmc,test,random,r2,0.25432872772216797,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
8,pbmc,test,random,roc_auc_multi,0.500638255693102,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
9,pbmc,test,random,pr_auc_multi,0.11131919380166838,546.70299,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_1.pt,fold_3,pwms,2000,mubind_graph
0,pbmc,val,random,roc_auc,0.5726014592573686,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
1,pbmc,val,random,pr_auc,0.06609657567237871,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
2,pbmc,val,random,r2,0.33472269773483276,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
3,pbmc,val,random,roc_auc_multi,0.5071692591252244,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
4,pbmc,val,random,pr_auc_multi,0.09146204186962797,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
5,pbmc,test,random,roc_auc,0.5365514572833024,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
6,pbmc,test,random,pr_auc,0.06620587511291416,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
7,pbmc,test,random,r2,0.26671338081359863,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
8,pbmc,test,random,roc_auc_multi,0.5020076428327559,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
9,pbmc,test,random,pr_auc_multi,0.11104175458381435,128.49227,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_3/model_0.pt,fold_3,pwms,2000,mubind
0,pbmc,train,random,roc_auc,0.5406764860951027,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
1,pbmc,train,random,pr_auc,0.07057912037709436,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
2,pbmc,train,random,r2,0.30463337898254395,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
3,pbmc,train,random,roc_auc_multi,0.499673913763866,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
4,pbmc,train,random,pr_auc_multi,0.09085635114323258,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
5,pbmc,val,random,roc_auc,0.600737228557845,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
6,pbmc,val,random,pr_auc,0.09449748575122624,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
7,pbmc,val,random,r2,0.3585110902786255,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
8,pbmc,val,random,roc_auc_multi,0.49803838681291746,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
9,pbmc,val,random,pr_auc_multi,0.12481662679130943,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
10,pbmc,test,random,roc_auc,0.509681135308282,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
11,pbmc,test,random,pr_auc,0.0795256177835408,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
12,pbmc,test,random,r2,0.26784592866897583,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
13,pbmc,test,random,roc_auc_multi,0.5076398081378143,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
14,pbmc,test,random,pr_auc_multi,0.14256698160714465,57.788157,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_1.pt,fold_0,pwms,500,mubind_graph
0,pbmc,train,random,roc_auc,0.5284662327586778,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
1,pbmc,train,random,pr_auc,0.0776273808844038,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
2,pbmc,train,random,r2,0.3296876549720764,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
3,pbmc,train,random,roc_auc_multi,0.4997358558179657,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
4,pbmc,train,random,pr_auc_multi,0.0910645298437524,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
5,pbmc,val,random,roc_auc,0.5090644027192067,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
6,pbmc,val,random,pr_auc,0.098990916115958,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
7,pbmc,val,random,r2,0.3673301935195923,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
8,pbmc,val,random,roc_auc_multi,0.4952282265138797,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
9,pbmc,val,random,pr_auc_multi,0.1245201328217863,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
10,pbmc,test,random,roc_auc,0.5376271069385685,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
11,pbmc,test,random,pr_auc,0.0800179696106817,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
12,pbmc,test,random,r2,0.2751490473747253,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
13,pbmc,test,random,roc_auc_multi,0.4951433002742281,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
14,pbmc,test,random,pr_auc_multi,0.1425181694645624,24.928167,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_0/model_0.pt,fold_0,pwms,500,mubind
0,pbmc,train,random,roc_auc,0.5368650345305815,53.687984,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs500/pwms/fold_1/model_1.pt,fold_1,pwms,500,mubind_graph
