,dataset,feat_selection,loss_key,group,metric,value,model_path,fold_key,model,n_epochs
7,pbmc,random,poisson,val,pr_auc,0.12807896572102828,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
8,pbmc,random,poisson,val,pr_auc_multi,0.08278195488721805,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
9,pbmc,random,poisson,val,r2,-0.11349153161107894,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
10,pbmc,random,poisson,test,roc_auc,0.583358605608849,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
11,pbmc,random,poisson,test,roc_auc_multi,0.5139901996775791,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
12,pbmc,random,poisson,test,pr_auc,0.05333837000426551,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
13,pbmc,random,poisson,test,pr_auc_multi,0.030541031809676558,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
14,pbmc,random,poisson,test,r2,-0.8503561195729674,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_2/best_model.h5,fold_2,scBasset,10
0,pbmc,random,poisson,train,roc_auc,0.6417626860129331,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
1,pbmc,random,poisson,train,roc_auc_multi,0.5101865361252713,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
2,pbmc,random,poisson,train,pr_auc,0.10818981070928213,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
3,pbmc,random,poisson,train,pr_auc_multi,0.07437382352154441,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
4,pbmc,random,poisson,train,r2,-0.04646211839837022,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
5,pbmc,random,poisson,val,roc_auc,0.566589567613342,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
6,pbmc,random,poisson,val,roc_auc_multi,0.49589858314690527,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
7,pbmc,random,poisson,val,pr_auc,0.06848652194592382,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
8,pbmc,random,poisson,val,pr_auc_multi,0.04214285714285714,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
9,pbmc,random,poisson,val,r2,-0.18862505864663848,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
10,pbmc,random,poisson,test,roc_auc,0.6108386599074278,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
11,pbmc,random,poisson,test,roc_auc_multi,0.5034714569098523,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
12,pbmc,random,poisson,test,pr_auc,0.09075847093894554,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
13,pbmc,random,poisson,test,pr_auc_multi,0.06987179487179487,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
14,pbmc,random,poisson,test,r2,-0.14987396709001488,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_4/best_model.h5,fold_4,scBasset,10
0,pbmc,random,poisson,train,roc_auc,0.7601960560645338,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
1,pbmc,random,poisson,train,roc_auc_multi,0.5007675563674208,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
2,pbmc,random,poisson,train,pr_auc,0.24174514009463755,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
3,pbmc,random,poisson,train,pr_auc_multi,0.07136560420722318,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
4,pbmc,random,poisson,train,r2,-0.01588029090334553,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
5,pbmc,random,poisson,val,roc_auc,0.6799295306475202,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
6,pbmc,random,poisson,val,roc_auc_multi,0.5,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
7,pbmc,random,poisson,val,pr_auc,0.14119291428389386,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
8,pbmc,random,poisson,val,pr_auc_multi,0.06571428571428571,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
9,pbmc,random,poisson,val,r2,-0.03621456814517621,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
10,pbmc,random,poisson,test,roc_auc,0.8251914175085155,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
11,pbmc,random,poisson,test,roc_auc_multi,0.5,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
12,pbmc,random,poisson,test,pr_auc,0.3996215167980081,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
13,pbmc,random,poisson,test,pr_auc_multi,0.06533333333333333,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
14,pbmc,random,poisson,test,r2,-0.009405726012985172,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/poisson/fold_3/best_model.h5,fold_3,scBasset,10
0,pbmc,random,bce,train,roc_auc,0.6117324061665648,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
1,pbmc,random,bce,train,roc_auc_multi,0.46964331663856757,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
2,pbmc,random,bce,train,pr_auc,0.08502589821282448,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
3,pbmc,random,bce,train,pr_auc_multi,0.06895120150148691,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
4,pbmc,random,bce,train,r2,-0.3948053912964413,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
5,pbmc,random,bce,val,roc_auc,0.604744454322701,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
6,pbmc,random,bce,val,roc_auc_multi,0.48427550216478377,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
7,pbmc,random,bce,val,pr_auc,0.09570033630631777,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
8,pbmc,random,bce,val,pr_auc_multi,0.07517930717659388,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
9,pbmc,random,bce,val,r2,-0.46153033232352936,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
10,pbmc,random,bce,test,roc_auc,0.5115978765125067,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
11,pbmc,random,bce,test,roc_auc_multi,0.5240924960543307,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
12,pbmc,random,bce,test,pr_auc,0.043140835308912204,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
13,pbmc,random,bce,test,pr_auc_multi,0.04103662122427158,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
14,pbmc,random,bce,test,r2,-2.1134962468950063,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_0/best_model.h5,fold_0,scBasset,10
0,pbmc,random,bce,train,roc_auc,0.6998516803252135,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
1,pbmc,random,bce,train,roc_auc_multi,0.5079435179443342,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
2,pbmc,random,bce,train,pr_auc,0.12528399538186707,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
3,pbmc,random,bce,train,pr_auc_multi,0.0748528158548127,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
4,pbmc,random,bce,train,r2,-0.06144648213780446,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
5,pbmc,random,bce,val,roc_auc,0.5821768570662376,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
6,pbmc,random,bce,val,roc_auc_multi,0.49426790024135153,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
7,pbmc,random,bce,val,pr_auc,0.04086400246483961,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
8,pbmc,random,bce,val,pr_auc_multi,0.031128466128466134,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
9,pbmc,random,bce,val,r2,-1.307040742894932,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
10,pbmc,random,bce,test,roc_auc,0.7286921296296297,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
11,pbmc,random,bce,test,roc_auc_multi,0.5527777777777778,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
12,pbmc,random,bce,test,pr_auc,0.11606144317606763,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
13,pbmc,random,bce,test,pr_auc_multi,0.05688888888888889,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
14,pbmc,random,bce,test,r2,-0.2396355475750518,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_1/best_model.h5,fold_1,scBasset,10
0,pbmc,random,bce,train,roc_auc,0.48240206352413245,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
1,pbmc,random,bce,train,roc_auc_multi,0.5266664378091064,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
2,pbmc,random,bce,train,pr_auc,0.09007065712181618,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
3,pbmc,random,bce,train,pr_auc_multi,0.07891460080156254,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
4,pbmc,random,bce,train,r2,-0.10806453750719869,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
5,pbmc,random,bce,val,roc_auc,0.38953916673487765,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
6,pbmc,random,bce,val,roc_auc_multi,0.5039835202313716,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
7,pbmc,random,bce,val,pr_auc,0.08454049613170785,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
8,pbmc,random,bce,val,pr_auc_multi,0.08209387104123947,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
9,pbmc,random,bce,val,r2,-0.2882304686267352,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
10,pbmc,random,bce,test,roc_auc,0.45828478396194794,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
11,pbmc,random,bce,test,roc_auc_multi,0.4886354567365246,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
12,pbmc,random,bce,test,pr_auc,0.025742166413176892,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
13,pbmc,random,bce,test,pr_auc_multi,0.028341997264021885,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
14,pbmc,random,bce,test,r2,-0.7613150006418912,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_2/best_model.h5,fold_2,scBasset,10
0,pbmc,random,bce,train,roc_auc,0.7140596866078587,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
1,pbmc,random,bce,train,roc_auc_multi,0.5084596727383289,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
2,pbmc,random,bce,train,pr_auc,0.1264233902231833,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
3,pbmc,random,bce,train,pr_auc_multi,0.0728673292214422,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
4,pbmc,random,bce,train,r2,-0.03571177453965135,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
5,pbmc,random,bce,val,roc_auc,0.6068706631782504,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
6,pbmc,random,bce,val,roc_auc_multi,0.547289525904018,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
7,pbmc,random,bce,val,pr_auc,0.08075249611670375,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
8,pbmc,random,bce,val,pr_auc_multi,0.05364675813828356,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
9,pbmc,random,bce,val,r2,-0.5403376780020872,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
10,pbmc,random,bce,test,roc_auc,0.7126405113511131,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
11,pbmc,random,bce,test,roc_auc_multi,0.5121638748071412,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
12,pbmc,random,bce,test,pr_auc,0.13246636316732813,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
13,pbmc,random,bce,test,pr_auc_multi,0.07169881362418676,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
14,pbmc,random,bce,test,r2,-0.03416973987625993,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_4/best_model.h5,fold_4,scBasset,10
0,pbmc,random,bce,train,roc_auc,0.6384621266457589,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/scbasset_output/obs100_e10/bce/fold_3/best_model.h5,fold_3,scBasset,10
